rs,minx,miny,maxx,maxy,bbox_wkt
09773,10.2,48.4,10.9,48.9,"POLYGON((10.2 48.4,10.2 48.9,10.9 48.9,10.9 48.4,10.2 48.4))"
09774,10,48.1,10.7,48.6,"POLYGON((10 48.1,10 48.6,10.7 48.6,10.7 48.1,10 48.1))"
09775,9.9,48,10.4,48.6,"POLYGON((9.9 48,9.9 48.6,10.4 48.6,10.4 48,9.9 48))"
09776,9.5,47.4,10.2,47.8,"POLYGON((9.5 47.4,9.5 47.8,10.2 47.8,10.2 47.4,9.5 47.4))"
09777,10.2,47.4,11.1,48.2,"POLYGON((10.2 47.4,10.2 48.2,11.1 48.2,11.1 47.4,10.2 47.4))"
09778,10,47.7,10.8,48.3,"POLYGON((10 47.7,10 48.3,10.8 48.3,10.8 47.7,10 47.7))"
09779,10.3,48.5,11.1,49.1,"POLYGON((10.3 48.5,10.3 49.1,11.1 49.1,11.1 48.5,10.3 48.5))"
09780,9.9,47.2,10.6,48,"POLYGON((9.9 47.2,9.9 48,10.6 48,10.6 47.2,9.9 47.2))"
10041,6.6,49,7.2,49.5,"POLYGON((6.6 49,6.6 49.5,7.2 49.5,7.2 49,6.6 49))"
10042,6.3,49.3,7.1,49.7,"POLYGON((6.3 49.3,6.3 49.7,7.1 49.7,7.1 49.3,6.3 49.3))"
10043,6.8,49.2,7.4,49.5,"POLYGON((6.8 49.2,6.8 49.5,7.4 49.5,7.4 49.2,6.8 49.2))"
10044,6.4,49.1,7.1,49.6,"POLYGON((6.4 49.1,6.4 49.6,7.1 49.6,7.1 49.1,6.4 49.1))"
10045,7,49,7.5,49.5,"POLYGON((7 49,7 49.5,7.5 49.5,7.5 49,7 49))"
10046,6.8,49.3,7.4,49.7,"POLYGON((6.8 49.3,6.8 49.7,7.4 49.7,7.4 49.3,6.8 49.3))"
11000,13,52.2,13.9,52.8,"POLYGON((13 52.2,13 52.8,13.9 52.8,13.9 52.2,13 52.2))"
12051,12.3,52.2,12.8,52.6,"POLYGON((12.3 52.2,12.3 52.6,12.8 52.6,12.8 52.2,12.3 52.2))"
12052,14.2,51.6,14.6,52,"POLYGON((14.2 51.6,14.2 52,14.6 52,14.6 51.6,14.2 51.6))"
12053,14.3,52.2,14.7,52.5,"POLYGON((14.3 52.2,14.3 52.5,14.7 52.5,14.7 52.2,14.3 52.2))"
12054,12.8,52.2,13.3,52.6,"POLYGON((12.8 52.2,12.8 52.6,13.3 52.6,13.3 52.2,12.8 52.2))"
12060,13.3,52.4,14.3,53.2,"POLYGON((13.3 52.4,13.3 53.2,14.3 53.2,14.3 52.4,13.3 52.4))"
12061,13.3,51.6,14.6,52.5,"POLYGON((13.3 51.6,13.3 52.5,14.6 52.5,14.6 51.6,13.3 51.6))"
12062,13,51.3,14,52,"POLYGON((13 51.3,13 52,14 52,14 51.3,13 51.3))"
12063,12,52.3,13.3,52.9,"POLYGON((12 52.3,12 52.9,13.3 52.9,13.3 52.3,12 52.3))"
12064,13.5,52.3,14.7,53,"POLYGON((13.5 52.3,13.5 53,14.7 53,14.7 52.3,13.5 52.3))"
12065,12.7,52.5,13.6,53.4,"POLYGON((12.7 52.5,12.7 53.4,13.6 53.4,13.6 52.5,12.7 52.5))"
12066,13.5,51.3,14.3,52,"POLYGON((13.5 51.3,13.5 52,14.3 52,14.3 51.3,13.5 51.3))"
12067,13.6,51.9,14.9,52.6,"POLYGON((13.6 51.9,13.6 52.6,14.9 52.6,14.9 51.9,13.6 51.9))"
12068,12,52.6,13.2,53.4,"POLYGON((12 52.6,12 53.4,13.2 53.4,13.2 52.6,12 52.6))"
12069,12.1,51.9,13.4,52.7,"POLYGON((12.1 51.9,12.1 52.7,13.4 52.7,13.4 51.9,12.1 51.9))"
12070,11.2,52.8,12.5,53.5,"POLYGON((11.2 52.8,11.2 53.5,12.5 53.5,12.5 52.8,11.2 52.8))"
12071,14,51.4,14.9,52.2,"POLYGON((14 51.4,14 52.2,14.9 52.2,14.9 51.4,14 51.4))"
12072,12.7,51.7,13.8,52.5,"POLYGON((12.7 51.7,12.7 52.5,13.8 52.5,13.8 51.7,12.7 51.7))"
12073,13.1,52.8,14.6,53.7,"POLYGON((13.1 52.8,13.1 53.7,14.6 53.7,14.6 52.8,13.1 52.8))"
13003,11.9,54,12.4,54.3,"POLYGON((11.9 54,11.9 54.3,12.4 54.3,12.4 54,11.9 54))"
13004,11.2,53.4,11.6,53.8,"POLYGON((11.2 53.4,11.2 53.8,11.6 53.8,11.6 53.4,11.2 53.4))"
13071,12.2,53.1,13.9,54.1,"POLYGON((12.2 53.1,12.2 54.1,13.9 54.1,13.9 53.1,12.2 53.1))"
13072,11.4,53.5,12.9,54.4,"POLYGON((11.4 53.5,11.4 54.4,12.9 54.4,12.9 53.5,11.4 53.5))"
13073,12.2,53.9,13.9,54.8,"POLYGON((12.2 53.9,12.2 54.8,13.9 54.8,13.9 53.9,12.2 53.9))"
13074,10.6,53.5,11.9,54.1,"POLYGON((10.6 53.5,10.6 54.1,11.9 54.1,11.9 53.5,10.6 53.5))"
13075,12.9,53.2,14.5,54.4,"POLYGON((12.9 53.2,12.9 54.4,14.5 54.4,14.5 53.2,12.9 53.2))"
13076,10.5,53,12.5,53.9,"POLYGON((10.5 53,10.5 53.9,12.5 53.9,12.5 53,10.5 53))"
14511,12.6,50.6,13.2,51,"POLYGON((12.6 50.6,12.6 51,13.2 51,13.2 50.6,12.6 50.6))"
14521,12.4,50.3,13.6,50.9,"POLYGON((12.4 50.3,12.4 50.9,13.6 50.9,13.6 50.3,12.4 50.3))"
14522,12.5,50.5,13.8,51.3,"POLYGON((12.5 50.5,12.5 51.3,13.8 51.3,13.8 50.5,12.5 50.5))"
14523,11.8,50.1,12.7,50.8,"POLYGON((11.8 50.1,11.8 50.8,12.7 50.8,12.7 50.1,11.8 50.1))"
14524,12.1,50.4,12.9,51,"POLYGON((12.1 50.4,12.1 51,12.9 51,12.9 50.4,12.1 50.4))"
14612,13.5,50.9,14.1,51.3,"POLYGON((13.5 50.9,13.5 51.3,14.1 51.3,14.1 50.9,13.5 50.9))"
14625,13.7,50.9,14.8,51.6,"POLYGON((13.7 50.9,13.7 51.6,14.8 51.6,14.8 50.9,13.7 50.9))"
14626,14.3,50.7,15.1,51.7,"POLYGON((14.3 50.7,14.3 51.7,15.1 51.7,15.1 50.7,14.3 50.7))"
14627,13.1,50.9,14,51.6,"POLYGON((13.1 50.9,13.1 51.6,14 51.6,14 50.9,13.1 50.9))"
14628,13.3,50.6,14.5,51.2,"POLYGON((13.3 50.6,13.3 51.2,14.5 51.2,14.5 50.6,13.3 50.6))"
14713,12.1,51.1,12.6,51.5,"POLYGON((12.1 51.1,12.1 51.5,12.6 51.5,12.6 51.1,12.1 51.1))"
14729,12,50.9,13,51.6,"POLYGON((12 50.9,12 51.6,13 51.6,13 50.9,12 50.9))"
14730,12,51.1,13.3,51.8,"POLYGON((12 51.1,12 51.8,13.3 51.8,13.3 51.1,12 51.1))"
15001,12,51.6,12.5,52.1,"POLYGON((12 51.6,12 52.1,12.5 52.1,12.5 51.6,12 51.6))"
